experiment,R2,MAE,RMSE,NSE,Bias,n_pixels,tta,timestamp
resunetpp_v6_5m,0.2495,0.4901,0.6375,0.2495,-0.2374,2054019.0,False,2026-04-26 22:57:19
attention_unet_v6_final,0.1763,0.5034,0.6678,0.1763,-0.2906,2054019.0,False,2026-04-27 12:06:02
attention_unet_v6_5m,0.1352,0.5272,0.6843,0.1352,-0.2822,2054019.0,False,2026-04-26 22:48:28
resunetpp_v6_final,0.1208,0.5192,0.69,0.1208,-0.364,2054019.0,False,2026-04-27 13:02:56
unet_v6_final,0.069,0.5462,0.71,0.069,-0.3699,2054019.0,False,2026-04-27 11:35:40
unet_v6_5m,0.0593,0.5623,0.7137,0.0593,-0.3689,2054019.0,False,2026-04-26 22:40:14
rf_v5_optuna,,,,,,,,
rf_v6_optuna,,,,,,,,
